DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
1405396-DCA,Business,12/31/2022,Active,08/26/2011,Tobacco Retail Dealer,171 MADISON AVENUE RETAIL INC.,7-ELEVEN STORE #35057A,171,MADISON AVE,,NEW YORK,NY,10016,732-433-5700,Manhattan,1,105,02,1017082,1008630027,MN17,74,,-73.98331554481857,40.74725988357487,"(40.74725988357487, -73.98331554481857)"
1042160-DCA,Business,12/31/2022,Active,12/06/2000,Tobacco Retail Dealer,SHRIJI CORP.,,5939,QUEENS BLVD,,WOODSIDE,NY,11377,718-651-7641,Queens,4,402,26,4031401,4013340071,QN63,249,,-73.90511635054625,40.741587035183095,"(40.741587035183095, -73.90511635054625)"
1227936-DCA,Business,12/31/2022,Active,05/23/2006,Tobacco Retail Dealer,QUEEN BEE FOOD STORE INC.,,4382,162ND ST,,FLUSHING,NY,11358,718-461-3434,Queens,4,407,20,4122399,4054190068,QN52,1191,,-73.80428333443292,40.75827144405556,"(40.75827144405556, -73.80428333443292)"
2047373-2-DCA,Business,12/31/2022,Active,01/13/2017,Tobacco Retail Dealer,ASHLEY & J FOOD CORP.,,1000,E GUN HILL RD,,BRONX,NY,10469,718-654-7296,Bronx,2,212,12,2057201,2046370030,BX44,370,,-73.85794467597955,40.87466872036941,"(40.87466872036941, -73.85794467597955)"
2025710-2-DCA,Business,12/31/2022,Active,07/15/2015,Tobacco Retail Dealer,CHOITHRAMS INC,,111A,NASSAU ST,,NEW YORK,NY,10038,212-444-8388,Manhattan,1,101,01,1089790,1000900017,MN25,1501,,-74.0070733993916,40.71081051889842,"(40.71081051889842, -74.0070733993916)"
2048573-2-DCA,Business,12/31/2022,Active,02/21/2017,Tobacco Retail Dealer,MAHANT KRUPA CORPORATION,,10727,ATLANTIC AVE,,RICHMOND HILL,NY,11418,718-441-1712,Queens,4,409,32,4195406,4093140031,QN54,12601,,-73.8381781521023,40.69118991226279,"(40.69118991226279, -73.8381781521023)"
2093311-2-DCA,Business,12/31/2022,Active,01/02/2020,Tobacco Retail Dealer,TC AMBOY CORP,,7299,AMBOY RD,,STATEN ISLAND,NY,10307,7189671963,Staten Island,5,503,51,5089139,5080430001,,,,-74.24079990802743,40.511398695151605,"(40.511398695151605, -74.24079990802743)"
2056781-2-DCA,Business,12/31/2022,Active,08/08/2017,Tobacco Retail Dealer,MD A HOSSAIN,MD A Hossain News Stand,N/W/C,EAST   79 STREET,1 AVENUE,NEW YORK,NY,10075,716-333-5205,Manhattan,1,108,05,,,,,,-73.9526861016243,40.77234382522236,"(40.77234382522236, -73.9526861016243)"
2061409-2-DCA,Business,12/31/2022,Active,11/22/2017,Tobacco Retail Dealer,HARUN U RASHID,,N/E/C,WEST   23 STREET,8 AVENUE,NEW YORK,NY,10011,917-600-1910,Manhattan,1,104,03,,,,,,-73.998487869284,40.74529309693587,"(40.74529309693587, -73.998487869284)"
1410757-DCA,Business,12/31/2022,Active,10/12/2011,Tobacco Retail Dealer,FABULOUS BOUTIQUE INC.,,121,MACDOUGAL ST,,NEW YORK,NY,10012,212-533-3310,Manhattan,1,102,01,1008746,1005430021,MN23,65,,-74.00025256639387,40.730290289869906,"(40.730290289869906, -74.00025256639387)"
2095849-1-DCA,Business,12/31/2021,Active,06/22/2020,Tobacco Retail Dealer,JJ TOMPKINS FOOD CORP,,920,MYRTLE AVE,,BROOKLYN,NY,11206,7184527922,Brooklyn,3,303,36,3048667,3017560023,,,,-73.9453440414906,40.695814085286024,"(40.695814085286024, -73.9453440414906)"
1413152-DCA,Business,12/31/2022,Active,11/15/2011,Tobacco Retail Dealer,LOTTO CANDY STORE CORP.,,4192,BOWNE ST,,FLUSHING,NY,11355,718-460-0401,Queens,4,407,20,4117042,4051810048,QN22,857,,-73.82239869851911,40.75740326344447,"(40.75740326344447, -73.82239869851911)"
2027010-2-DCA,Business,12/31/2022,Active,08/12/2015,Tobacco Retail Dealer,NYC GREEN VALLEY GROCERY INC,,74,E 116TH ST,,NEW YORK,NY,10029,646-249-2959,Manhattan,1,111,08,1081339,1016210041,MN34,184,,-73.94402354896373,40.79963082772893,"(40.79963082772893, -73.94402354896373)"
2056593-2-DCA,Business,12/31/2022,Active,08/03/2017,Tobacco Retail Dealer,EDDY FOOD CENTER CORP.,,2108,AMSTERDAM AVE,,NEW YORK,NY,10032,2126432063,Manhattan,1,112,07,1062897,1021210039,MN36,24301,,-73.93865032790558,40.83750522009817,"(40.83750522009817, -73.93865032790558)"
2047970-2-DCA,Business,12/31/2022,Active,02/02/2017,Tobacco Retail Dealer,ALMAZEN CANDY & TOBACCO CORP.,,21617,LINDEN BLVD,,CAMBRIA HEIGHTS,NY,11411,3479555596,Queens,4,413,27,4244203,4113170002,QN33,598,,-73.7433036482574,40.696136412167526,"(40.696136412167526, -73.7433036482574)"
2060155-2-DCA,Business,12/31/2022,Active,11/01/2017,Tobacco Retail Dealer,ROCKY DELI & GRILL INC,,721,FULTON ST,,BROOKLYN,NY,11217,929-355-4281,Brooklyn,3,302,35,3335277,3020980093,BK68,33,,-73.97652651534315,40.68716766682428,"(40.68716766682428, -73.97652651534315)"
1339494-DCA,Business,12/31/2022,Active,11/23/2009,Tobacco Retail Dealer,JAI SAI CORP.,CONVENIENT FOOD MART,2,NEW DORP LN,,STATEN ISLAND,NY,10306,718-979-6500,Staten Island,5,502,50,5057251,5041910031,SI45,134,,-74.11968069562336,40.57574892416113,"(40.57574892416113, -74.11968069562336)"
2092255-2-DCA,Business,12/31/2022,Active,11/15/2019,Tobacco Retail Dealer,MI COMPADRE DELI GROCERY CORP.,,16,E 213TH ST,,BRONX,NY,10467,3473467533,Bronx,2,207,11,2017844,2033290058,,,,-73.87868860890869,40.88493832659279,"(40.88493832659279, -73.87868860890869)"
2085403-2-DCA,Business,12/31/2022,Active,05/02/2019,Tobacco Retail Dealer,VAPE RITE INC,,7322,3RD AVE,,BROOKLYN,NY,11209,9175171240,Brooklyn,3,310,43,3147824,3059170046,BK31,66,,-74.02732732419406,40.63263078613216,"(40.63263078613216, -74.02732732419406)"
2091381-2-DCA,Business,12/31/2022,Active,10/11/2019,Tobacco Retail Dealer,STANTON SMOKE & BEER INC,,100,STANTON ST,,NEW YORK,NY,10002,3473690989,Manhattan,1,103,01,1005410,1004120036,MN27,3001,,-73.98802996376898,40.72132254691939,"(40.72132254691939, -73.98802996376898)"
2092829-2-DCA,Business,12/31/2022,Active,12/09/2019,Tobacco Retail Dealer,LOS CANE DELI GROCERY CORP,,12,E 199TH ST,,BRONX,NY,10468,7187906138,Bronx,2,207,14,2017598,2033190083,,,,-73.88961702614729,40.87223588060372,"(40.87223588060372, -73.88961702614729)"
2001865-2-DCA,Business,12/31/2022,Active,12/23/2013,Tobacco Retail Dealer,H & A GAS AND CONVENIENCE INC,,4102,AVENUE H,,BROOKLYN,NY,11210,347-834-2769,Brooklyn,3,318,45,3214026,3077450040,BK58,726,,-73.93685742259771,40.63231476908511,"(40.63231476908511, -73.93685742259771)"
1045490-DCA,Business,12/31/2022,Active,12/05/2000,Tobacco Retail Dealer,"1001 FREEMAN GROCERY, INC.",,1001,FREEMAN ST,,BRONX,NY,10459,718-378-6730,Bronx,2,203,17,2010904,2030060067,BX75,123,,-73.88757795401901,40.82932317932185,"(40.82932317932185, -73.88757795401901)"
2059575-2-DCA,Business,12/31/2022,Active,10/18/2017,Tobacco Retail Dealer,"UNITED EXPRESS, CORP.",,237,AVENUE X,,BROOKLYN,NY,11223,7186769440,Brooklyn,3,315,47,3194405,3071730051,BK26,386,,-73.9740330580981,40.59013894055023,"(40.59013894055023, -73.9740330580981)"
1400482-DCA,Business,12/31/2022,Active,07/12/2011,Tobacco Retail Dealer,STOP II ORGANIC & GROCERY STORE CORP,,585,VANDERBILT AVE,,BROOKLYN,NY,11238,718-638-9608,Brooklyn,3,308,35,3027906,3011380011,BK64,203,,-73.96798427618465,40.68007037123687,"(40.68007037123687, -73.96798427618465)"
1068058-DCA,Business,12/31/2022,Active,12/14/2000,Tobacco Retail Dealer,"K & A PLUS OF NEW YORK, INC.",,7704,21ST AVE,,EAST ELMHURST,NY,11370,718-278-4658,Queens,4,401,22,4021463,4009730001,QN72,317,,-73.89265939034549,40.770524948631135,"(40.770524948631135, -73.89265939034549)"
2058590-2-DCA,Business,12/31/2022,Active,09/25/2017,Tobacco Retail Dealer,METRO GAS INC,,5002,METROPOLITAN AVE,,RIDGEWOOD,NY,11385,718-366-9401,Queens,4,405,34,4080422,4033750052,QN20,539,,-73.91680747252572,40.71355288612214,"(40.71355288612214, -73.91680747252572)"
1466158-DCA,Business,12/31/2022,Active,05/29/2013,Tobacco Retail Dealer,"SIKDER, KAUSHIK",,S/E/C,BOWERY,EAST    2 STREET,NEW YORK,,10012,347-744-8471,Manhattan,1,102,01,,,,,,-73.99206275224037,40.72564588916084,"(40.72564588916084, -73.99206275224037)"
2058261-2-DCA,Business,12/31/2022,Active,09/14/2017,Tobacco Retail Dealer,"406 DELI & GROCERY, INC",,406,PORT RICHMOND AVE,,STATEN ISLAND,NY,10302,3474582231,Staten Island,5,501,49,5025775,5010940042,SI28,213,,-74.13791446014427,40.63204353540847,"(40.63204353540847, -74.13791446014427)"
1249112-DCA,Business,12/31/2022,Active,02/28/2007,Tobacco Retail Dealer,AM & PM GROCERY INC.,,6223,FORT HAMILTON PKWY,,BROOKLYN,NY,11219,718-491-1513,Brooklyn,3,310,38,3141447,3057290047,BK30,212,,-74.00723437194316,40.631955843282284,"(40.631955843282284, -74.00723437194316)"
1301284-DCA,Business,12/31/2022,Active,10/03/2008,Tobacco Retail Dealer,"SHAHAB, FAHAD F",THIRD AVENUE MINI MARKET,9721,3RD AVE,,BROOKLYN,NY,11209,718-238-0804,Brooklyn,3,310,43,3155829,3061260003,BK31,5601,,-74.03427918284815,40.61555083500603,"(40.61555083500603, -74.03427918284815)"
1066180-DCA,Business,12/31/2022,Active,11/13/2000,Tobacco Retail Dealer,"AVENUE I SERVICE STATION, INC.",,1248,CONEY ISLAND AVE,,BROOKLYN,NY,11230,347-272-8646,Brooklyn,3,312,45,3170584,3065130044,BK43,456,,-73.96568590531058,40.62741106915692,"(40.62741106915692, -73.96568590531058)"
2055450-2-DCA,Business,12/31/2022,Active,07/07/2017,Tobacco Retail Dealer,KARMA GAS INC,,5205,HYLAN BLVD,,STATEN ISLAND,NY,10312,917-716-8991,Staten Island,5,503,51,,,SI01,176,,-74.17974617139048,40.52628318608904,"(40.52628318608904, -74.17974617139048)"
2084554-2-DCA,Business,12/31/2022,Active,04/12/2019,Tobacco Retail Dealer,ASHLEY DELI GROCERY INC,,15824,110TH AVE,,JAMAICA,NY,11433,7185771006,Queens,4,412,28,4263546,4121620034,QN01,262,,-73.79212715739128,40.69201897555849,"(40.69201897555849, -73.79212715739128)"
1393506-DCA,Business,12/31/2022,Active,05/24/2011,Tobacco Retail Dealer,"ABOUNAJI DELI & GROCERY, INC.",,87,VICTORY BLVD,,STATEN ISLAND,NY,10301,917-397-9588,Staten Island,5,501,49,5000399,5000230061,SI22,11,,-74.07918904730184,40.63806614834465,"(40.63806614834465, -74.07918904730184)"
1066818-DCA,Business,12/31/2022,Active,01/22/2003,Tobacco Retail Dealer,"IRSHAD, MERCEDES",TOP NEWS AND GROCERY,6422,14TH AVE,,BROOKLYN,NY,11219,718-232-5136,Brooklyn,3,310,38,3142069,3057470048,BK30,194,,-73.99889406209965,40.62507762339311,"(40.62507762339311, -73.99889406209965)"
1465340-DCA,Business,12/31/2022,Active,05/17/2013,Tobacco Retail Dealer,QUINCY MARKET INC.,,331,NOSTRAND AVE,,BROOKLYN,NY,11216,718-857-4257,Brooklyn,3,303,36,3050609,3018030001,BK75,251,,-73.95088249570983,40.68698665792194,"(40.68698665792194, -73.95088249570983)"
1045592-DCA,Business,12/31/2022,Active,12/05/2000,Tobacco Retail Dealer,N & J STATIONERY CORP.,,764,MANHATTAN AVE,,BROOKLYN,NY,11222,718-383-9872,Brooklyn,3,301,33,3337746,3026200001,BK76,561,,-73.9524767428173,40.726750726884624,"(40.726750726884624, -73.9524767428173)"
2019786-2-DCA,Business,12/31/2022,Active,03/20/2015,Tobacco Retail Dealer,"MGM NY ASSOCIATES, INC.",,1769,BATH AVE,,BROOKLYN,NY,11214,347-312-5226,Brooklyn,3,311,43,3167708,3064020001,BK27,178,,-74.00658673097811,40.604151135521825,"(40.604151135521825, -74.00658673097811)"
2050880-2-DCA,Business,12/31/2022,Active,04/07/2017,Tobacco Retail Dealer,JOHN BAGEL & GROCERY INC,,1174,HYLAN BLVD,,STATEN ISLAND,NY,10305,718-556-3625,Staten Island,5,502,50,5093260,5032350023,SI14,64,,-74.08195447451448,40.59849526798771,"(40.59849526798771, -74.08195447451448)"
1472010-DCA,Business,12/31/2022,Active,08/23/2013,Tobacco Retail Dealer,C & T DELI-GROCERY STORE INC.,,2275,WASHINGTON AVE,,BRONX,NY,10457,718-563-7775,Bronx,2,206,15,2011339,2030380027,BX01,385,,-73.89333635859377,40.855027367376174,"(40.855027367376174, -73.89333635859377)"
1390004-DCA,Business,12/31/2022,Active,05/03/2011,Tobacco Retail Dealer,JERSEY ST. FOOD CORP.,,376,JERSEY ST,,STATEN ISLAND,NY,10301,347-322-5905,Staten Island,5,501,49,5150524,5000470086,SI22,77,,-74.08736972621561,40.63930910202972,"(40.63930910202972, -74.08736972621561)"
1466972-DCA,Business,12/31/2022,Active,06/13/2013,Tobacco Retail Dealer,WEST MOBIL ON 8TH INC.,,51,8TH AVE,,NEW YORK,NY,10014,212-989-3555,Manhattan,1,102,03,1011658,1006260040,MN23,77,,-74.00386836212078,40.73870015046343,"(40.73870015046343, -74.00386836212078)"
2026445-2-DCA,Business,12/31/2022,Active,07/31/2015,Tobacco Retail Dealer,BARTOLOME GROCERY AND DELI CORP,,4302,8TH AVE,,BROOKLYN,NY,11232,917-378-2965,Brooklyn,3,307,38,3011022,3007320040,BK34,92,,-73.99974054967126,40.64495537904649,"(40.64495537904649, -73.99974054967126)"
1412754-DCA,Business,12/31/2022,Active,11/07/2011,Tobacco Retail Dealer,288 SAMS DELI INC.,,288,AVENUE U,,BROOKLYN,NY,11223,718-266-0377,Brooklyn,3,315,47,3192646,3071230010,BK26,398,,-73.9734974819669,40.59694043073652,"(40.59694043073652, -73.9734974819669)"
2064484-2-DCA,Business,12/31/2022,Active,01/05/2018,Tobacco Retail Dealer,MYRTLE & GROVE GAS INC,,1525,MYRTLE AVE,,BROOKLYN,NY,11237,347-272-8646,Brooklyn,3,304,37,3076175,3033280008,BK77,441,,-73.91428641870384,40.69923983004887,"(40.69923983004887, -73.91428641870384)"
2028195-2-DCA,Business,12/31/2022,Active,09/09/2015,Tobacco Retail Dealer,PEOPLE'S 99 CENTS DISCOUNT PLUS CORP,,319,ROGERS AVE,,BROOKLYN,NY,11225,347-770-9022,Brooklyn,3,309,35,3034430,3013050009,BK63,321,,-73.95369194790129,40.66539193431836,"(40.66539193431836, -73.95369194790129)"
1309550-DCA,Business,12/31/2022,Active,02/18/2009,Tobacco Retail Dealer,N AND A SUPERETTE INC.,,1595,CANARSIE RD,,BROOKLYN,NY,11236,646-407-6361,Brooklyn,3,318,46,3233513,3082770009,BK50,1010,,-73.89495137677723,40.633538488227735,"(40.633538488227735, -73.89495137677723)"
2031541-2-DCA,Business,12/31/2022,Active,12/18/2015,Tobacco Retail Dealer,MUKTI 66 PETROLEUM INC,,6615,BORDEN AVE,,MASPETH,NY,11378,7187495864,Queens,4,405,30,4055332,4023940008,QN30,511,,-73.89809601618722,40.725988079720786,"(40.725988079720786, -73.89809601618722)"
1306782-DCA,Business,12/31/2022,Active,12/29/2008,Tobacco Retail Dealer,JANI USA INC.,,8906,ELIOT AVE,,REGO PARK,NY,11374,718-247-7234,Queens,4,406,29,4071941,4030750004,QN18,687,,-73.86879197336097,40.73198865113688,"(40.73198865113688, -73.86879197336097)"
1132472-DCA,Business,12/31/2022,Active,03/05/2003,Tobacco Retail Dealer,"HAMEED, ABDUL",LUCKY NEWS & COMMUNICATION,248,E 23RD ST,,NEW YORK,NY,10010,212-725-0476,Manhattan,1,106,02,1019655,1009030035,MN21,64,,-73.98204757183993,40.738358466904536,"(40.738358466904536, -73.98204757183993)"
2051284-2-DCA,Business,12/31/2022,Active,04/17/2017,Tobacco Retail Dealer,3014 RAYYAN CORP,SUNRISE GOURMET GRILL,3014,RICHMOND RD,,STATEN ISLAND,NY,10306,718-681-1158,Staten Island,5,503,50,5107629,5043020093,SI25,138,,-74.12232923427611,40.57527128294534,"(40.57527128294534, -74.12232923427611)"
2053477-2-DCA,Business,12/31/2022,Active,05/24/2017,Tobacco Retail Dealer,BARNES DELI FOOD MART CORP.,,803,MORRIS PARK AVE,,BRONX,NY,10462,3133545777,Bronx,2,211,13,2043662,2040540007,BX37,232,,-73.86240095773206,40.84600844687016,"(40.84600844687016, -73.86240095773206)"
1411588-DCA,Business,12/31/2022,Active,10/20/2011,Tobacco Retail Dealer,"N & M GROCERY DELI, CORP.",,202,SIMONSON AVE,,STATEN ISLAND,NY,10303,718-634-4457,Staten Island,5,501,49,5027230,5011940072,SI12,231,,-74.15226682277165,40.63154783043622,"(40.63154783043622, -74.15226682277165)"
1299840-DCA,Business,12/31/2022,Active,03/04/2011,Tobacco Retail Dealer,"A.B.M. SUPERETTE, INC.",,101,GUYON AVE,,STATEN ISLAND,NY,10306,718-668-3646,Staten Island,5,503,50,5058300,5042650006,SI25,13204,,-74.12760075107629,40.56476391339492,"(40.56476391339492, -74.12760075107629)"
2056450-2-DCA,Business,12/31/2022,Active,08/01/2017,Tobacco Retail Dealer,GORKHA MINI MART INC,,8542,GRAND AVE,,ELMHURST,NY,11373,7186512204,Queens,4,404,25,4065266,4028750029,QN50,479,,-73.88099924626472,40.73559479958696,"(40.73559479958696, -73.88099924626472)"
1251718-DCA,Business,12/31/2022,Active,04/09/2007,Tobacco Retail Dealer,1152 H&F CANDY STORE INC.,,1152,CONEY ISLAND AVE,,BROOKLYN,NY,11230,718-859-1098,Brooklyn,3,314,40,3170245,3064980052,BK42,460,,-73.96617819161209,40.62989799434874,"(40.62989799434874, -73.96617819161209)"
1295790-DCA,Business,12/31/2022,Active,08/14/2008,Tobacco Retail Dealer,"APEX NYC, INC",,4921,QUEENS BLVD,,WOODSIDE,NY,11377,718-457-2643,Queens,4,402,26,4030848,4013180001,QN31,25301,,-73.91556922471702,40.742805608156196,"(40.742805608156196, -73.91556922471702)"
2065621-2-DCA,Business,12/31/2022,Active,02/02/2018,Tobacco Retail Dealer,FORDHAM OF THE BRONX DELI INC,FORDHAM LUCKY 7,152,E 188TH ST,,BRONX,NY,10468,347-726-2065,Bronx,2,205,14,2013796,2031650030,BX40,23703,,-73.89844126214751,40.86165768469159,"(40.86165768469159, -73.89844126214751)"
1397278-DCA,Business,12/31/2022,Active,06/20/2011,Tobacco Retail Dealer,SKILLMAN MINI MARKET INC,,4808,SKILLMAN AVE,,SUNNYSIDE,NY,11104,718-898-1180,Queens,4,402,26,4001198,4001350029,QN31,25301,,-73.91596896857914,40.74632467138077,"(40.74632467138077, -73.91596896857914)"
2017163-2-DCA,Business,12/31/2022,Active,01/08/2015,Tobacco Retail Dealer,EXPRESS DELI AT 715 FAIRVIEW CORP,,715,FAIRVIEW AVE,,RIDGEWOOD,NY,11385,347-244-2802,Queens,4,405,30,4083510,4034890063,QN20,589,,-73.90424399111362,40.7057754379208,"(40.7057754379208, -73.90424399111362)"
1211708-DCA,Business,12/31/2022,Active,10/04/2005,Tobacco Retail Dealer,"RODRIGO, IVONNE",LINDENWOOD DELI & FOOD MARKET,15101,82ND ST,,HOWARD BEACH,NY,11414,718-835-5638,Queens,4,410,32,4246924,4114290057,QN57,6202,,-73.85253578253683,40.667359835471075,"(40.667359835471075, -73.85253578253683)"
2048132-2-DCA,Business,12/31/2022,Active,02/07/2017,Tobacco Retail Dealer,MICHAEL'S CORNER DELI INC,,6204,68TH AVE,,RIDGEWOOD,NY,11385,718-386-1988,Queens,4,405,30,4088045,4036260027,QN20,581,,-73.89523826468674,40.705539778299226,"(40.705539778299226, -73.89523826468674)"
1416426-DCA,Business,12/31/2022,Active,01/06/2012,Tobacco Retail Dealer,MO GOURMET DELI CORP.,,12602,101ST AVE,,S RICHMOND HL,NY,11419,917-445-8893,Queens,4,409,28,4451785,4094930001,QN54,156,,-73.81989450846609,40.69167602332324,"(40.69167602332324, -73.81989450846609)"
2031561-2-DCA,Business,12/31/2022,Active,12/21/2015,Tobacco Retail Dealer,ALAN'S DELI GROCERY CORP.,,1246,SHAKESPEARE AVE,,BRONX,NY,10452,7185880585,Bronx,2,204,16,2003084,2025060075,BX26,211,,-73.92312399804526,40.83835775558988,"(40.83835775558988, -73.92312399804526)"
2056797-2-DCA,Business,12/31/2022,Active,08/08/2017,Tobacco Retail Dealer,PRESTIGE GOURMET DELI CORP,,362,MARCUS GARVEY BLVD,,BROOKLYN,NY,11221,718-864-4859,Brooklyn,3,303,36,3052165,3018310050,BK35,275,,-73.93840147264758,40.684735430360895,"(40.684735430360895, -73.93840147264758)"
2022793-2-DCA,Business,12/31/2022,Active,05/14/2015,Tobacco Retail Dealer,MUKTI PETROLEUM INC,,14812,ROCKAWAY BLVD,,JAMAICA,NY,11436,718-749-5864,Queens,4,412,28,4262702,4121030025,QN76,788,,-73.78968375426655,40.67325670814297,"(40.67325670814297, -73.78968375426655)"
2057257-2-DCA,Business,12/31/2022,Active,08/21/2017,Tobacco Retail Dealer,FOOD CORNER & DELI CORP,,21301,JAMAICA AVE,,QUEENS VILLAGE,NY,11428,917-892-7397,Queens,4,413,23,4226153,4106030023,QN34,542,,-73.7445971325535,40.716209090460595,"(40.716209090460595, -73.7445971325535)"
2028873-2-DCA,Business,12/31/2022,Active,09/28/2015,Tobacco Retail Dealer,RAY'S INC I,,201,2ND AVE,,NEW YORK,NY,10003,212-529-5414,Manhattan,1,103,02,1006869,1004680037,MN22,40,,-73.98568647538423,40.73134338650365,"(40.73134338650365, -73.98568647538423)"
1093320-DCA,Business,12/31/2022,Active,09/26/2001,Tobacco Retail Dealer,LITTLE M. CORP,,118,LEXINGTON AVE,,NEW YORK,NY,10016,212-683-6425,Manhattan,1,105,02,1018199,1008830075,MN21,68,,-73.98253362299846,40.74255526662045,"(40.74255526662045, -73.98253362299846)"
1194278-DCA,Business,12/31/2022,Active,04/21/2005,Tobacco Retail Dealer,INTERNATIONAL DELI CORP.,INTERNATIONAL DELI CORP.,4017,14TH AVE,,BROOKLYN,NY,11218,718-436-0072,Brooklyn,3,312,39,3124881,3053450003,BK88,230,,-73.98481639930145,40.638580985157546,"(40.638580985157546, -73.98481639930145)"
2047186-2-DCA,Business,12/31/2022,Active,01/09/2017,Tobacco Retail Dealer,9 NEWPORT CANDY STORE INC.,,351,LEGION ST,STORE 2,BROOKLYN,NY,11212,347-881-5051,Brooklyn,3,316,42,3082003,3035820006,BK81,894,,-73.91610628750443,40.66020498795926,"(40.66020498795926, -73.91610628750443)"
1243750-DCA,Business,12/31/2022,Active,11/16/2006,Tobacco Retail Dealer,909 FULTON GROCERY & DELI CORP.,,909,FULTON ST,,BROOKLYN,NY,11238,718-638-9841,Brooklyn,3,302,35,3056602,3019770001,BK69,199,,-73.96673512728243,40.68345706653188,"(40.68345706653188, -73.96673512728243)"
1247384-DCA,Business,12/31/2022,Active,09/10/2013,Tobacco Retail Dealer,"148 DELI GROCERY, INC.",,2787,FREDERICK DOUGLASS BLVD,,NEW YORK,NY,10039,917-940-0247,Manhattan,1,110,09,1060830,1020450069,MN03,259,,-73.94045414985014,40.824853035827495,"(40.824853035827495, -73.94045414985014)"
2000806-2-DCA,Business,12/31/2022,Active,11/18/2013,Tobacco Retail Dealer,WEST 44 CANDY STORE CORP,,358,W 44TH ST,,NEW YORK,NY,10036,212-977-1622,Manhattan,1,104,03,1024978,1010340061,MN15,121,,-73.99045245624292,40.75920034318852,"(40.75920034318852, -73.99045245624292)"
2060666-2-DCA,Business,12/31/2022,Active,11/14/2017,Tobacco Retail Dealer,LIBERTY SMOKE INC,,114,LIBERTY ST,,NEW YORK,NY,10006,347-645-1218,Manhattan,1,101,01,1001041,1000527502,MN25,13,,-74.01223490895552,40.70993725150606,"(40.70993725150606, -74.01223490895552)"
1296454-DCA,Business,12/31/2022,Active,08/19/2008,Tobacco Retail Dealer,"GENAO, BALBINO & GENAO, MARGARITA",GENAO FOOD STORE,926,INTERVALE AVE,,BRONX,NY,10459,347-247-6342,Bronx,2,202,17,2005450,2027030001,BX33,87,,-73.89669476746616,40.81998594212071,"(40.81998594212071, -73.89669476746616)"
1222474-DCA,Business,12/31/2022,Active,03/31/2006,Tobacco Retail Dealer,"MEHTA, KISHOR",,,BROADWAY,WEST   44 STREET,NEW YORK,NY,10036,516-747-0469,Manhattan,1,105,03,,,,,,-73.98582167954895,40.75725658725952,"(40.75725658725952, -73.98582167954895)"
1453280-DCA,Business,12/31/2022,Active,01/04/2013,Tobacco Retail Dealer,"ESTRELLA, PEDRO A MARTE",ESTRELLA DELI GROCERY,644,WILSON AVE,,BROOKLYN,NY,11207,347-529-2386,Brooklyn,3,304,37,3080022,3034410035,BK78,411,,-73.90516235044583,40.68898919196353,"(40.68898919196353, -73.90516235044583)"
1238806-DCA,Business,12/31/2022,Active,09/20/2006,Tobacco Retail Dealer,"RAMOS, FAUSTO A.",SUTTER GROCERY STORE,978,SUTTER AVE,,BROOKLYN,NY,11208,718-277-6956,Brooklyn,3,305,42,3089793,3040500017,BK82,1164,,-73.88257766364063,40.67123711284561,"(40.67123711284561, -73.88257766364063)"
1408828-DCA,Business,12/31/2022,Active,09/26/2011,Tobacco Retail Dealer,"KWIK PIK, INC.",,2507,30TH AVE,,ASTORIA,NY,11102,718-726-7862,Queens,4,401,22,4006853,4005740031,QN71,71,,-73.92494466064001,40.76856605511618,"(40.76856605511618, -73.92494466064001)"
2053980-2-DCA,Business,12/31/2022,Active,06/06/2017,Tobacco Retail Dealer,IN & OUT CONVENIENCE CORP,,2283,NOSTRAND AVE,,BROOKLYN,NY,11210,347-257-0746,Brooklyn,3,318,45,3207060,3075940041,BK58,742,,-73.94723987456722,40.62877373424608,"(40.62877373424608, -73.94723987456722)"
1048816-DCA,Business,12/31/2022,Active,10/30/2000,Tobacco Retail Dealer,SHREEJI DELI CORP,,560,MORGAN AVE,,BROOKLYN,NY,11222,7183830811,Brooklyn,3,301,33,3067375,3026910052,BK76,593,,-73.93944757599243,40.72392300119091,"(40.72392300119091, -73.93944757599243)"
2082154-2-DCA,Business,12/31/2022,Active,02/11/2019,Tobacco Retail Dealer,SRR CONVENIENCE INC.,,6118,18TH AVE,,BROOKLYN,NY,11204,718-236-7483,Brooklyn,3,311,44,3132430,3055250045,BK28,248,,-73.98801548448044,40.62128370297448,"(40.62128370297448, -73.98801548448044)"
2090443-2-DCA,Business,12/31/2022,Active,09/11/2019,Tobacco Retail Dealer,D&H DELI GROCERY CORP,,11232,ROCKAWAY BEACH BLVD,,ROCKAWAY PARK,NY,11694,9176001142,Queens,4,414,32,4457875,4161660035,QN10,938,,-73.83405021356384,40.580711658371946,"(40.580711658371946, -73.83405021356384)"
2024002-2-DCA,Business,12/31/2022,Active,06/08/2015,Tobacco Retail Dealer,HIPSTER DELI GROCERY I CORP,,168,7TH AVE,,BROOKLYN,NY,11215,347-967-2812,Brooklyn,3,306,39,3020692,3009660047,BK37,157,,-73.97744394645942,40.67187122788095,"(40.67187122788095, -73.97744394645942)"
